DEPARTEMENT (numéro),COMMUNE,Rang ville,TAXE FONCIERE,,,,,,,,,,,,Taux des taxes spéciales d'équipement (+ TASA en Ile-de-France),,,,Taux de la taxe GEMAPI,,,,TOTAL TAUX taxe foncière + taxes annexes (hors TEOM) en 2024,"EVOLUTION TAXE FONCIERE 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %",TAXE D'ENLEVEMENT DES ORDURES MENAGERES,,,,TOTAL TAUX taxe foncière  + TEOM + taxes annexes en 2024,"EVOLUTION TAXE FONCIERE + TEOM 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %"
91,CORBEIL ESSONNES,125,"39,21","39,21","43,75","43,75","0,00","0,00","0,00","0,00","0,28","1,13","1,13","1,13","0,62","0,57","0,58","0,59","0,00","0,52","0,57","0,55","46,01","6,8","19,0","3,9","7,70","8,71","8,71","8,71","54,72","8,4","16,9","3,9"
92,COURBEVOIE,57,"13,71","14,67","16,58","16,58","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","17,27","10,0","21,0","4,1","1,88","1,88","1,88","1,88","19,15","9,2","19,5","4,1"
94,CRETEIL,47,"41,70","42,12","42,12","43,76","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","44,45","4,3","7,3","8,0","8,37","8,35","8,32","8,30","52,75","4,1","7,2","7,3"
21,DIJON,17,"50,28","50,28","50,28","50,28","0,00","0,00","0,00","0,00","0,61","1,41","1,41","1,41","0,39","0,39","0,37","0,36","0,00","0,00","0,00","0,00","52,05","5,0","7,1","3,9","6,40","6,40","6,40","6,40","58,45","4,8","7,1","3,9"
59,DOUAI,192,"48,84","48,84","48,84","48,84","0,00","0,00","0,00","0,00","4,00","4,00","4,00","4,00","0,26","0,16","0,20","0,18","0,00","0,00","0,00","0,00","53,01","3,2","7,2","3,9","16,26","17,11","17,18","17,44","70,45","4,5","7,3","4,3"
83,DRAGUIGNAN,193,"37,79","37,79","37,79","37,79","0,00","0,00","0,00","0,00","2,50","3,00","3,00","3,00","0,19","0,19","0,18","0,18","0,00","0,84","0,90",NR,"41,87","6,8","7,3","3,9 (dp)","12,00","12,60","12,60","12,60","54,47","7,2","7,2","3,9 (dp)"
93,DRANCY,70,"41,29","41,29","42,49","42,49","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","43,18","3,3","9,8","4,0","8,74","8,74","8,74","8,74","51,92","3,3","9,4","4,0"
59,DUNKERQUE*,54,"48,13","48,22","48,30","48,39","2,11","2,15","2,24","2,16","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,53","0,83","0,86","0,81","51,54","4,1","7,6","3,8","17,78","17,78","17,78","17,78","69,32","3,9","7,5","3,8"
93,EPINAY SUR SEINE,109,"39,87","39,87","39,87","39,87","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","40,56","3,3","7,3","4,0","7,45","7,85","7,85","7,93","48,49","4,2","7,3","4,2"
27,EVREUX,146,"54,57","54,57","54,57","54,57","0,00","0,00","0,00","0,00","2,98","2,98","3,86","3,86","0,11","0,12","0,11","0,11","0,00","1,16","1,24","1,16","59,70","5,5","8,8","3,8","12,15","12,15","14,38","14,38","74,08","5,1","11,9","3,8"
91,EVRY-COURCOURONNES*,78,"41,05","41,39","41,78","42,12","0,00","0,00","0,00","0,00","0,28","1,13","1,13","1,13","0,62","0,57","0,58","0,59","0,00","0,52","0,57","0,55","44,38","7,4","8,2","4,7","7,54","8,53","8,53","8,53","52,91","8,9","8,0","4,5"
94,FONTENAY SOUS BOIS,122,"36,61","38,08","38,08","39,98","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","40,67","7,3","7,3","9,1","5,22","5,76","5,84","6,03","46,70","8,2","7,5","8,9"
972,FORT-DE-FRANCE,64,"48,70","48,70","48,70","48,70","0,00","0,00","0,00","0,00","1,50","1,50","1,50","1,50","0,72","0,78","0,71","0,67","0,87","0,89","0,94","0,89","51,76","3,6","7,1","3,7","13,80","13,80","13,80","13,80","65,56","3,5","7,1","3,8"
95,FRANCONVILLE,204,"34,28","34,28","41,14","41,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,13","0,15","0,86","0,86","42,59","3,5","30,3","3,9","6,88","7,20","7,32","7,51","50,10","3,5","26,6","4,3"
83,FREJUS,111,"35,94","35,94","35,94","35,94","0,00","0,00","0,00","0,00","1,59","1,59","1,59","1,59","0,19","0,19","0,18","0,18","1,01","1,01","1,09","1,03","38,74","3,4","7,3","3,7","10,00","11,23","11,23","11,17","49,91","6,0","7,3","3,6"
93,GAGNY,191,"36,66","36,66","36,66","36,66","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","37,35","3,3","7,3","4,0","8,20","8,13","7,82","7,35","44,70","3,1","6,5","2,9"
05,GAP,184,"61,86","61,86","61,86","61,86","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,19","0,19","0,18","0,18","0,00","0,00","0,00","0,00","62,04","3,4","7,1","3,9","8,65","8,65","9,52","12,00","74,04","3,4","8,4","7,5"
95,GARGES LES GONESSE,168,"39,01","39,01","39,01","39,01","0,00","0,00","0,00","0,00","3,94","4,58","4,58","4,58","0,62","0,57","0,58","0,59","0,43","0,46","0,46",NR,"44,64","4,8","7,1","3,9 (dp)","6,94","6,94","6,94","6,94","51,58","4,6","7,1","3,9 (dp)"
92,GENNEVILLIERS,135,"30,91","31,37","31,37","33,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","33,69","4,7","7,3","9,3","4,47","4,47","4,47",NR,"38,16","4,6","7,3",NR
06,GRASSE,133,"30,07","30,07","30,07","30,07","0,00","0,00","0,00","0,00","0,10","0,10","0,10","0,10","0,19","0,19","0,18","0,18","0,51","0,53","0,63","0,61","30,96","3,4","7,5","3,8","18,73","18,73","18,73","18,73","49,69","3,4","7,3","3,8"
38,GRENOBLE,16,"52,63","52,63","65,79","65,79","0,00","0,00","0,00","0,00","1,29","1,29","1,29","1,29","0,48","0,48","0,47","0,47","0,31","0,33","0,38","0,38","67,92","3,4","32,9","3,9","8,30","8,30","8,30","8,30","76,22","3,4","29,5","3,9"
83,HYERES,108,"37,25","37,25","37,25","37,25","0,00","0,00","0,00","0,00","4,00","5,00","5,00","5,00","0,19","0,19","0,18","0,18","0,44","0,46","0,51","0,49","42,92","5,9","7,2","3,8","12,41","12,31","12,21","12,12","55,04","5,1","7,0","3,7"
92,ISSY LES MOULINEAUX,75,"21,32","21,32","23,99","23,99","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","24,68","3,2","20,5","4,1","4,15","4,15","4,15","4,15","28,83","3,2","18,4","4,0"
13,ISTRES,165,"49,95","53,43","53,43","53,43","0,00","0,00","0,00","0,00","3,29","3,19","3,09","2,99","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","57,16","9,9","7,1","3,6","11,00","11,00","14,00","14,00","71,16","8,8","11,8","3,7"
94,IVRY SUR SEINE,85,"47,82","47,82","47,82","47,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","48,51","3,3","7,3","4,0","0,79","2,30","3,32","4,24","52,75","6,5","9,4","5,8"
37,JOUE LES TOURS,197,"37,09","37,09","37,09","37,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,33","0,33","0,35","0,33","0,00","0,30","0,38","0,35","37,77","4,2","7,4","3,8","10,86","10,86","10,86","10,86","48,63","4,0","7,3","3,8"
93,LA COURNEUVE,156,"41,36","41,36","41,36","41,36","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","42,05","3,3","7,3","4,0","7,45","7,85","7,85","7,93","49,98","4,1","7,2","4,2"
85,LA ROCHE SUR YON,107,"42,69","42,69","42,69","42,69","0,00","0,00","0,00","0,00","1,50","5,00","5,00","5,00","0,15","0,12","0,11","0,14","0,00","0,00","0,00","0,00","47,83","11,5","7,1","3,9","0,00","0,00","0,00","0,00","47,83","11,5","7,1","3,9"
17,LA ROCHELLE,62,"54,42","54,42","54,42","54,42","0,00","0,00","0,00","0,00","0,26","0,26","0,26","0,26","0,18","0,17","0,17","0,16","0,00","0,40","0,44","0,41","55,25","4,1","7,2","3,8","9,13","9,31","9,59","9,88","65,13","4,3","7,6","4,3"
83,LA SEYNE SUR MER,88,"49,60","49,60","49,60","49,60","0,00","0,00","0,00","0,00","4,00","5,00","5,00","5,00","0,19","0,19","0,18","0,18","0,44","0,46","0,51","0,49","55,27","5,3","7,2","3,9","11,02","11,15","11,29","11,42","66,69","5,2","7,4","4,1"
53,LAVAL,130,"45,77","45,77","45,77","45,77","0,00","0,00","0,00","0,00","0,20","0,25","0,30","0,36","0,00","0,00","0,00","0,00","0,17","0,17","0,19","0,18","46,31","3,5","7,3","4,0","7,80","7,95","8,10","8,10","54,41","3,8","7,5","4,0"
93,LE BLANC MESNIL,98,"39,17","39,17","39,17","39,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","39,86","3,3","7,3","4,0","8,20","8,20","9,13","9,13","48,99","3,3","9,3","4,0"
06,LE CANNET,175,"25,89","25,89","27,47","29,89","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,19","0,19","0,18","0,18","0,00","0,00","0,00","0,74","30,81","3,4","13,6","15,8","15,37","15,37","15,37","15,37","46,18","3,4","11,2","11,5"
76,LE HAVRE,15,"54,36","54,36","54,36","54,36","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,11","0,12","0,11","0,11","0,00","0,00","0,00","0,00","54,47","3,4","7,1","3,9","12,50","12,50","12,50","12,63","67,10","3,4","7,1","4,1"
972,LE LAMENTIN,187,"40,93","40,93","40,93","40,93","0,00","0,00","0,00","0,00","1,50","1,50","1,50","1,50","0,72","0,78","0,71","0,67","0,87","0,89","0,94","0,89","43,99","3,6","7,1","3,7","13,80","13,80","13,80","13,80","57,79","3,5","7,1","3,7"
72,LE MANS**,24,"34,71","34,71","34,71","34,71","0,00","0,00","0,00","0,00","13,09","13,09","13,09","13,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","47,80","3,4","7,1","3,9","6,71","6,71","6,71","6,71","54,51","3,4","7,1","3,9"
974,LE TAMPON**,58,"41,47","39,40","39,40","39,40","0,00","0,00","0,00","0,00","0,00","0,00","2,00","2,00","0,66","0,65","0,60","0,58","0,00","1,09","1,13","1,08","43,06","1,0","12,3","3,7","16,70","16,70","16,70","16,70","59,76","1,7","10,8","3,8"
971,LES ABYMES,116,"53,06","53,06","53,06","53,06","0,00","0,00","0,00","0,00","0,50","0,50","0,50","0,50","1,01","1,05","0,95","0,95","0,00","0,00","0,35","0,34","54,85","4,1","7,6","3,9","17,17","19,82","18,57","17,66","72,51","5,5","5,7","2,6"
85,LES SABLES D'OLONNE*,157,"39,82","39,72","39,60","39,48","0,00","0,00","0,00","0,00","3,10","3,10","4,10","4,10","0,15","0,12","0,11","0,14","0,00","0,00","0,00","0,58","44,29","3,1","9,3","5,0","11,30","11,30","11,30","12,30","56,59","3,2","8,8","6,7"
92,LEVALLOIS PERRET,79,"22,93","22,93","22,93","22,93","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","23,62","3,2","7,4","4,1","3,25","3,25","3,25","3,25","26,87","3,2","7,4","4,1"
59,LILLE,10,"48,35","48,35","48,35","48,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,00","0,38","0,45","0,42","48,95","4,0","7,3","3,8","13,39","13,39","14,64","14,64","63,59","3,9","9,4","3,8"
87,LIMOGES,28,"38,30","38,30","42,13","42,13","0,00","0,00","0,00","0,00","1,00","2,20","2,20","2,20","0,18","0,17","0,17","0,16","0,00","0,00","0,04","0,04","44,53","6,5","17,3","3,9","6,12","6,12","6,12","6,12","50,65","6,1","16,0","3,9"
93,LIVRY GARGAN,152,"35,46","35,46","40,46","40,46","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","41,15","3,3","22,2","4,0","6,33","6,89","7,20","7,35","48,50","4,6","20,5","4,3"
56,LORIENT,99,"48,04","48,04","48,04","48,04","0,00","0,00","0,00","0,00","0,50","0,50","0,49","0,49","0,12","0,09","0,08","0,08","0,00","0,00","0,00","0,00","48,61","3,3","7,1","3,9","9,54","9,54","9,54","9,54","58,15","3,3","7,1","3,9"
69,LYON,3,"29,26","29,26","31,89","31,89","0,11","0,12","0,12","0,12","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","32,71","3,4","16,5","4,4","4,93","4,93","4,93","5,19","37,90","3,4","15,2","5,0"
94,MAISONS ALFORT,102,"27,52","27,52","28,62","28,62","0,21","0,24","0,23","0,28","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","29,59","3,3","11,5","4,2","5,42","5,94","6,00","6,17","35,76","4,9","10,9","4,7"
78,MANTES LA JOLIE,162,"31,98","31,98","31,98","30,98","0,00","0,00","0,00","0,00","0,00","6,00","6,00","6,00","0,62","0,57","0,58","0,59","0,11","0,12","0,15","0,14","37,71","22,2","7,2","1,2","4,04","4,04","4,04","7,52","45,23","20,2","7,2","9,9"
59,MARCQ EN BAROEUL,196,"33,50","33,50","33,50","33,50","0,62","0,68","0,66","0,63","0,00","0,00","0,00","0,00","0,26","0,16","0,20","0,18","0,00","0,38","0,45","0,42","34,73","4,4","7,4","3,7","13,39","13,39","14,64","14,64","49,37","4,1","10,1","3,7"
13,MARSEILLE,2,"39,07","44,54","44,54","44,54","0,00","0,00","0,00","0,00","3,29","3,19","3,09","2,99","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","48,27","16,3","7,1","3,6","18,10","18,10","18,10","18,10","66,37","12,5","7,1","3,7"
13,MARTIGUES,134,"32,68","37,68","37,68","37,68","0,00","0,00","0,00","0,00","1,20","1,40","1,60","1,80","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","40,22","19,0","7,9","4,3","12,50","13,50","14,00","14,00","54,22","17,1","8,7","4,2"
77,MEAUX,103,"41,57","41,57","41,57","45,57","0,00","0,00","0,00","0,00","2,95","2,95","2,95","2,95","0,62","0,57","0,58","0,59","0,00","1,16","1,34",NR,"50,45","5,9","7,5","12,9 (dp)","12,00","12,00","12,00","12,00","62,45","5,4","7,4","11,0 (dp)"
77,MELUN,182,"45,30","45,30","45,30","45,30","0,00","0,00","0,00","0,00","0,54","0,54","0,54","0,54","0,62","0,57","0,58","0,59","0,00","0,00","0,31","0,30","46,73","3,3","7,8","3,9","7,90","10,09","10,09","10,09","56,82","7,5","7,7","3,9"
33,MERIGNAC,71,"46,18","46,18","46,18","46,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","0,17","0,48","0,53","0,00","0,00","0,00","0,22","46,93","3,4","7,8","4,5","8,69","7,55","7,18","7,18","54,11","1,2","7,0","4,4"
57,METZ,32,"31,47","31,47","35,97","35,97","0,00","0,00","0,00","0,00","2,09","2,09","2,09","2,09","0,14","0,10","0,10","0,10","0,19","0,21","0,24","0,23","38,39","3,3","21,4","3,9","9,25","9,25","9,25","9,25","47,64","3,3","18,4","3,9"
92,MEUDON,151,"19,96","19,96","26,96","26,96","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","27,65","3,1","44,0","4,1","4,15","4,15","4,15","4,15","31,80","3,2","37,8","4,0"
82,MONTAUBAN,92,"61,93","61,93","61,93","61,93","0,00","0,00","0,00","0,00","6,47","6,47","6,47","6,47","0,32","0,34","0,64","0,68","0,00","0,00","0,00","0,07","69,15","3,4","7,6","4,1","9,35","9,35","11,00","11,00","80,15","3,4","9,8","4,0"
26,MONTELIMAR,189,"36,05","36,05","37,82","37,82","0,00","0,00","0,00","0,00","1,65","1,65","1,65","1,65","0,23","0,22","0,23","0,22","0,00","0,24","0,25","0,20","39,89","4,0","12,1","3,7","8,17","10,80","10,80","10,80","50,69","9,8","11,0","3,8"
34,MONTPELLIER,7,"52,63","52,63","52,63","52,63","0,00","0,00","0,00","0,00","0,17","0,17","0,17","0,17","0,20","0,20","0,25","0,24","0,44","0,45","0,83","1,22","54,26","3,4","8,0","4,6","12,35","12,35","12,35","14,62","68,88","3,4","7,8","8,1"
93,MONTREUIL SOUS BOIS,37,"38,58","41,44","41,44","43,51","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","44,20","10,8","7,3","9,1","7,92","8,44","8,44","8,77","52,97","10,7","7,2","8,9"
92,MONTROUGE,137,"19,98","19,98","19,98","19,98","0,02","0,03","0,03","0,02","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","20,70","3,2","7,4","4,1","4,02","4,16","4,30","4,44","25,14","3,8","8,0","4,6"
68,MULHOUSE,39,"41,01","41,01","43,01","43,01","0,00","0,00","0,00","0,00","1,58","1,58","3,58","3,58","0,11","0,12","0,21","0,21","0,07","0,07","0,08","0,12","46,92","3,4","17,4","4,0","13,37","13,07","12,76","12,45","59,37","2,9","14,4","3,4"
54,NANCY,41,"29,68","29,68","29,68","33,98","0,00","0,00","0,00","0,00","8,81","8,81","8,81","9,65","0,14","0,10","0,10","0,10","0,00","0,12","0,18","0,19","43,92","3,6","7,2","17,7","6,71","6,71","6,71","6,71","50,63","3,6","7,2","15,7"
92,NANTERRE,45,"20,67","21,97","22,97","22,97","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","23,66","9,5","12,2","4,1","3,47","3,47","3,47","3,47","27,13","8,6","11,5","4,1"
44,NANTES,6,"42,51","46,34","46,34","46,34","0,00","0,00","0,00","0,00","6,41","6,41","6,41","6,41","0,00","0,00","0,24","0,35","0,00","0,00","0,29","0,27","53,36","11,5","8,2","4,1","7,50","7,95","7,95","7,95","61,31","11,2","8,0","4,0"
11,NARBONNE**,104,"59,03","59,03","59,03","59,03","0,00","0,00","0,00","0,00","1,52","1,52","1,52","1,52","0,20","0,20","0,25","0,24","0,61","0,67","0,73","0,85","61,64","3,5","7,3","4,1","13,58","13,58","13,58","13,58","75,22","3,5","7,3","4,0"
92,NEUILLY SUR SEINE,94,"13,05","13,05","13,05","14,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","15,04","3,0","7,6","14,1","2,28","2,28","2,28","2,28","17,32","3,1","7,6","12,6"
06,NICE,5,"29,62","29,62","29,62","35,30","0,00","0,00","0,00","0,00","6,40","6,40","6,40","6,40","0,19","0,19","0,18","0,18","0,00","0,00","0,00","0,53","42,41","3,4","7,1","21,7","8,46","8,46","10,46","10,46","52,87","3,4","11,9","17,7"
30,NIMES,21,"53,20","53,20","53,20","53,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,20","0,20","0,25","0,24","0,54","0,55","0,62","0,57","54,01","3,4","7,3","3,8","11,71","11,71","11,71","11,71","65,72","3,4","7,3","3,8"
79,NIORT,96,"49,17","49,17","49,17","49,17","0,00","0,00","0,00","0,00","0,05","0,05","0,06","0,06","0,18","0,17","0,17","0,16","0,00","0,00","0,00","0,00","49,39","3,4","7,1","3,9","10,20","10,20","10,20","10,20","59,59","3,4","7,1","3,9"
93,NOISY LE GRAND,76,"33,27","33,27","33,27","33,27","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","33,96","3,2","7,3","4,0","5,68","6,45","6,98","7,35","41,31","5,3","8,7","4,9"
